instance_id,workload,seed,adapter,variant,adapter_version,backend_mode,run_status,error_category,capability_absent_observed,correctness_included,transaction_state,partial_update_rate,invalid_commit_rate,stale_write_rate,repair_recall,leak_rate,supersession_consistency,scope_bypass_rate,latency,latency_ms,any_violation,violations,committed_count,operation_count,repair_count
revoke_before_commit_seed_5,revoke_before_commit,5,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.090664,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_6,revoke_before_commit,6,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.098957,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_7,revoke_before_commit,7,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.090872,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_8,revoke_before_commit,8,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.089533,1,invalid_commit_violation;stale_write_violation,1,4,0
revoke_before_commit_seed_9,revoke_before_commit,9,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,committed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.089992,1,invalid_commit_violation;stale_write_violation,1,4,0
scope_bypass_seed_0,scope_bypass,0,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,completed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.118476,1,scope_leak_violation,0,4,0
scope_bypass_seed_1,scope_bypass,1,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,completed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.111508,1,scope_leak_violation,0,4,0
scope_bypass_seed_2,scope_bypass,2,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,completed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.109755,1,scope_leak_violation,0,4,0
scope_bypass_seed_3,scope_bypass,3,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,completed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.106964,1,scope_leak_violation,0,4,0
scope_bypass_seed_4,scope_bypass,4,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,completed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.105973,1,scope_leak_violation,0,4,0
scope_bypass_seed_5,scope_bypass,5,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,completed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.105825,1,scope_leak_violation,0,4,0
scope_bypass_seed_6,scope_bypass,6,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,completed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.105326,1,scope_leak_violation,0,4,0
scope_bypass_seed_7,scope_bypass,7,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,completed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.10509,1,scope_leak_violation,0,4,0
scope_bypass_seed_8,scope_bypass,8,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,completed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.105037,1,scope_leak_violation,0,4,0
scope_bypass_seed_9,scope_bypass,9,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,completed,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.119795,1,scope_leak_violation,0,4,0
supersession_consistency_seed_0,supersession_consistency,0,AppendOnly,AppendOnly,controlled-v1,controlled,success,,true,true,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.149943,1,supersession_consistency_violation,0,6,0
supersession_consistency_seed_1,supersession_consistency,1,AppendOnly,AppendOnly,controlled-v1,controlled,success,,true,true,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.150505,1,supersession_consistency_violation,0,6,0
supersession_consistency_seed_2,supersession_consistency,2,AppendOnly,AppendOnly,controlled-v1,controlled,success,,true,true,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.146185,1,supersession_consistency_violation,0,6,0
supersession_consistency_seed_3,supersession_consistency,3,AppendOnly,AppendOnly,controlled-v1,controlled,success,,true,true,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.142628,1,supersession_consistency_violation,0,6,0
supersession_consistency_seed_4,supersession_consistency,4,AppendOnly,AppendOnly,controlled-v1,controlled,success,,true,true,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.154209,1,supersession_consistency_violation,0,6,0
supersession_consistency_seed_5,supersession_consistency,5,AppendOnly,AppendOnly,controlled-v1,controlled,success,,true,true,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.150658,1,supersession_consistency_violation,0,6,0
supersession_consistency_seed_6,supersession_consistency,6,AppendOnly,AppendOnly,controlled-v1,controlled,success,,true,true,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.143036,1,supersession_consistency_violation,0,6,0
