instance_id,workload,seed,variant,transaction_state,partial_update_rate,invalid_commit_rate,stale_write_rate,repair_recall,leak_rate,supersession_consistency,scope_bypass_rate,latency,any_violation,violations,committed_count,operation_count,repair_count,oracle_version,oracle_match,allowed_outcome_count,oracle_mismatches
locomo_conv-26,trace_grounded_replay,17,Naive,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,,19,21,0,0.1,1,1,
locomo_conv-26,trace_grounded_replay,17,TxnMem-NoTxn,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,,19,21,0,0.1,1,1,
locomo_conv-26,trace_grounded_replay,17,TxnMem-NoPolicyCommit,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,,19,21,0,0.1,1,1,
locomo_conv-26,trace_grounded_replay,17,TxnMem-NoRepair,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,,19,21,0,0.1,1,1,
locomo_conv-26,trace_grounded_replay,17,TxnMem,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,,19,21,0,0.1,1,1,
locomo_conv-30,trace_grounded_replay,18,Naive,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,,19,21,0,0.1,1,1,
locomo_conv-30,trace_grounded_replay,18,TxnMem-NoTxn,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,,19,21,0,0.1,1,1,
locomo_conv-30,trace_grounded_replay,18,TxnMem-NoPolicyCommit,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,,19,21,0,0.1,1,1,
locomo_conv-30,trace_grounded_replay,18,TxnMem-NoRepair,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,,19,21,0,0.1,1,1,
locomo_conv-30,trace_grounded_replay,18,TxnMem,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,,19,21,0,0.1,1,1,
locomo_conv-41,trace_grounded_replay,19,Naive,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0,,32,34,0,0.1,1,1,
locomo_conv-41,trace_grounded_replay,19,TxnMem-NoTxn,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0,,32,34,0,0.1,1,1,
