instance_id,workload,seed,variant,transaction_state,partial_update_rate,invalid_commit_rate,stale_write_rate,repair_recall,any_violation,violations,committed_count,operation_count,repair_count
atomic_multi_write_seed_9,atomic_multi_write,9,TxnMem-NoTxn,partial_commit,1.0,0.0,0.0,0.0,1,atomicity_violation,1,3,0
atomic_multi_write_seed_9,atomic_multi_write,9,TxnMem-NoPolicyCommit,aborted,0.0,0.0,0.0,0.0,0,,0,3,0
atomic_multi_write_seed_9,atomic_multi_write,9,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0,,0,3,0
atomic_multi_write_seed_9,atomic_multi_write,9,TxnMem,aborted,0.0,0.0,0.0,0.0,0,,0,3,0
revoke_before_commit_seed_0,revoke_before_commit,0,Naive,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_0,revoke_before_commit,0,TxnMem-NoTxn,aborted,0.0,0.0,1.0,0.0,1,stale_write_violation,1,4,0
revoke_before_commit_seed_0,revoke_before_commit,0,TxnMem-NoPolicyCommit,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_0,revoke_before_commit,0,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_0,revoke_before_commit,0,TxnMem,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_1,revoke_before_commit,1,Naive,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_1,revoke_before_commit,1,TxnMem-NoTxn,aborted,0.0,0.0,1.0,0.0,1,stale_write_violation,1,4,0
revoke_before_commit_seed_1,revoke_before_commit,1,TxnMem-NoPolicyCommit,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_1,revoke_before_commit,1,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_1,revoke_before_commit,1,TxnMem,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_2,revoke_before_commit,2,Naive,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
